candidate_id,candiate_name,gender,age,dob,political_party,election_symbol,is_independent,province_id,provience_name,district_code,district_name,constituency_no,serial_no,votes_received,rank,is_elected,vote_share_pct,qualification_normalized
339463,Santosh Tamang,Male,42,6/29/2040,Mongol National Organization,Rooster,FALSE,1,Koshi region,4,Jhapa,1,61,971,6,FALSE,1.24,Bachelor
340297,Ashesh Ghimire,Male,40,9/13/2042,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,4,Jhapa,1,62,922,7,FALSE,1.18,Masters
340402,Naresh Kumar Lavati,Male,46,1/12/2036,Ujjaya Nepal Party,A burning electric lamp,FALSE,1,Koshi region,4,Jhapa,1,63,485,8,FALSE,0.62,SLC
341655,The Olin Dynasty,Male,60,3/22/2022,Nepal Sadbhavana Party,Paw print,FALSE,1,Koshi region,4,Jhapa,1,64,109,9,FALSE,0.14,Unknown
340653,Man Bahadur Sanwa (Limbu),Male,53,3/15/2029,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,4,Jhapa,1,65,99,10,FALSE,0.13,????? 10 ???
339865,Durga Prasad Sanwa Limbu,Male,40,1/7/2042,Independent,Cap,TRUE,1,Koshi region,4,Jhapa,1,66,84,11,FALSE,0.11,2
341776,Rama Meche,Woman,57,7/9/2025,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,4,Jhapa,1,67,43,12,FALSE,0.05,??????
340123,Ganesh Kumar Kharel,Male,48,1/1/2034,Independent,Camera,TRUE,1,Koshi region,4,Jhapa,1,68,33,13,FALSE,0.04,SLC ???
340077,Hiranya Prasad Bhattarai,Male,83,8/12/1999,Nepal Labor Farmers Party,Model,FALSE,1,Koshi region,4,Jhapa,1,69,23,14,FALSE,0.03,SLC (????? ???????)
340268,Khandru Karuva,Male,61,5/13/2021,Nepal Janmukti Party,Home,FALSE,1,Koshi region,4,Jhapa,1,70,17,15,FALSE,0.02,??????
339380,Indira Rana Magar,Woman,55,3/18/2027,National Independence Party,Bell,FALSE,1,Koshi region,4,Jhapa,2,71,60110,1,TRUE,65.82,?? ??
339775,Dev Raj Ghimire,Male,69,2/13/2013,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,4,Jhapa,2,72,11368,2,FALSE,12.45,???????? ?????? ????
339545,Keshav Kumar Bhandari,Male,40,11/9/2042,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,4,Jhapa,2,73,7291,3,FALSE,7.98,?????? ??
340352,Sarita Prasai,Woman,58,4/10/2024,Nepali Congress,Tree,FALSE,1,Koshi region,4,Jhapa,2,74,5616,4,FALSE,6.15,?? ?
339568,Bhadra Prasad Nepal,Male,50,7/19/2032,National Democratic Party,Plow,FALSE,1,Koshi region,4,Jhapa,2,75,3966,5,FALSE,4.34,?? ? ?????? ??????????????
340124,Dharmashil Chapagain,Woman,53,10/18/2029,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,4,Jhapa,2,76,1115,6,FALSE,1.22,?????? ??
340596,Chuda Karna Begha,Male,50,8/25/2032,Ujjaya Nepal Party,A burning electric lamp,FALSE,1,Koshi region,4,Jhapa,2,77,560,7,FALSE,0.61,?? ?
341141,Ramesh Kumar Rajvanshi,Male,41,8/9/2041,Public opinion party,Loudspeaker,FALSE,1,Koshi region,4,Jhapa,2,78,380,8,FALSE,0.42,Plus 2 / Higher Secondary
339645,Prince Sangraula,Male,66,9/29/2016,Independent,Fan,TRUE,1,Koshi region,4,Jhapa,2,79,305,9,FALSE,0.33,???????????? ?????? ????????????? 2007
339400,Akal Bahadur Tamang,Male,55,6/9/2027,Mongol National Organization,Rooster,FALSE,1,Koshi region,4,Jhapa,2,80,148,10,FALSE,0.16,????????? ??
340434,Til Bahadur Rai,Male,38,6/20/2044,Janata Samajwadi Party (single election symbol),Millstone,FALSE,1,Koshi region,4,Jhapa,2,81,99,11,FALSE,0.11,2
340650,Arjun Kumar Pandey,Male,56,8/29/2026,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,4,Jhapa,2,82,98,12,FALSE,0.11,?? ?
340575,Shri Prasad Sitaula,Male,48,12/5/2033,Communist Party of Nepal (United),Sickle,FALSE,1,Koshi region,4,Jhapa,2,83,64,13,FALSE,0.07,????? ??
341479,Mann Bahadur Pulami Magar,Male,75,2/25/2007,Nepal Janmukti Party,Home,FALSE,1,Koshi region,4,Jhapa,2,84,61,14,FALSE,0.07,Literate
340208,Amrita Lavati,Woman,53,5/15/2029,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,4,Jhapa,2,85,60,15,FALSE,0.07,??????
340299,Punya Prasad Archay,Male,56,4/30/2026,Independent,Violin,TRUE,1,Koshi region,4,Jhapa,2,86,56,16,FALSE,0.06,Literate
339313,Chandra Kumari Garu,Woman,50,5/20/2032,Nepal Labor Farmers Party,Model,FALSE,1,Koshi region,4,Jhapa,2,87,20,17,FALSE,0.02,????? ??
341084,Ramesh Kumar Karki,Male,56,6/10/2026,Independent,Sparrow,TRUE,1,Koshi region,4,Jhapa,2,88,6,18,FALSE,0.01,?? ? ??????????? / ?? ?? ?? ????????
339542,Prakash Pathak,Male,37,4/1/2045,National Independence Party,Bell,FALSE,1,Koshi region,4,Jhapa,3,89,38674,1,TRUE,46.87,????????????
339403,Rajendra Prasad Lingden,Male,60,5/22/2022,National Democratic Party,Plow,FALSE,1,Koshi region,4,Jhapa,3,90,17294,2,FALSE,20.96,Bachelor
340487,Rajendra Kumar Ghimire,Male,64,10/13/2018,Nepali Congress,Tree,FALSE,1,Koshi region,4,Jhapa,3,91,8199,3,FALSE,9.94,????????
340163,Hari Bahadur dynasty,Male,66,1/19/2016,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,4,Jhapa,3,92,7492,4,FALSE,9.08,???????? ?????? ???? ??
339824,Deepak Timsina,Male,48,4/16/2034,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,4,Jhapa,3,93,7339,5,FALSE,8.9,Bachelor
340843,Dilliram Ghimire,Male,45,1/6/2037,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,4,Jhapa,3,94,1450,6,FALSE,1.76,??. ?
341526,Abhay dynasty,Male,44,9/21/2038,Independent,Mango,TRUE,1,Koshi region,4,Jhapa,3,95,531,7,FALSE,0.64,?? ??
341802,Shyam Krishna Pathak,Male,50,11/18/2032,Ujjaya Nepal Party,A burning electric lamp,FALSE,1,Koshi region,4,Jhapa,3,96,388,8,FALSE,0.47,Bachelor
339510,Yam Kumar Shrestha,Male,43,7/29/2039,Mongol National Organization,Rooster,FALSE,1,Koshi region,4,Jhapa,3,97,380,9,FALSE,0.46,SLC
340341,Harsalal Rajvanshi,Male,71,4/19/2011,Public opinion party,Loudspeaker,FALSE,1,Koshi region,4,Jhapa,3,98,354,10,FALSE,0.43,Unknown
340751,Vinita Kumari Rajvanshi,Woman,45,1/9/2037,Janata Samajwadi Party (single election symbol),Millstone,FALSE,1,Koshi region,4,Jhapa,3,99,126,11,FALSE,0.15,?+2
342548,Santosh Katuwal,Male,39,11/9/2043,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,4,Jhapa,3,100,76,12,FALSE,0.09,?? ?
341225,Manprakash Sangraula,Male,44,7/7/2038,Independent,Violin,TRUE,1,Koshi region,4,Jhapa,3,101,74,13,FALSE,0.09,??????? ??
341091,Karna Lal dynasty,Male,39,7/5/2043,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,4,Jhapa,3,102,48,14,FALSE,0.06,SLC
341953,Jayen Magar,Male,38,9/19/2044,National Republic of Nepal,Flying bee,FALSE,1,Koshi region,4,Jhapa,3,103,38,15,FALSE,0.05,Plus 2 / Higher Secondary
341425,Chandrakala Sawa,Woman,44,7/14/2038,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,4,Jhapa,3,104,33,16,FALSE,0.04,??????
339466,Dharma Lakshmi Duwal (short),Woman,57,8/15/2025,Nepal Labor Farmers Party,Model,FALSE,1,Koshi region,4,Jhapa,3,105,10,17,FALSE,0.01,Unknown
339393,Shambhu Prasad Dhakal,Male,50,8/2/2032,National Independence Party,Bell,FALSE,1,Koshi region,4,Jhapa,4,106,43631,1,TRUE,56.62,?? ? ??????? ???????
339967,Lal Prasad Sanwa Limbu,Male,58,3/27/2024,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,4,Jhapa,4,107,11986,2,FALSE,15.56,?? ?
340608,Deu Kumar Theve,Male,63,1/30/2019,Nepali Congress,Tree,FALSE,1,Koshi region,4,Jhapa,4,108,9434,3,FALSE,12.24,?? ?? ??
339446,Amrita Devi Rai,Woman,61,5/16/2021,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,4,Jhapa,4,109,7161,4,FALSE,9.29,?? ?? ?? (?????)
339903,Bhakti Prasad Sitaula,Male,64,5/13/2018,National Democratic Party,Plow,FALSE,1,Koshi region,4,Jhapa,4,110,2080,5,FALSE,2.7,Bachelor
340367,Purushottam Chudal,Male,42,12/26/2039,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,4,Jhapa,4,111,1362,6,FALSE,1.77,Bachelor
340865,Santosh Tamang,Male,32,6/7/2050,Ujjaya Nepal Party,A burning electric lamp,FALSE,1,Koshi region,4,Jhapa,4,112,432,7,FALSE,0.56,?????????
340169,Lothro Hammer,Male,61,10/27/2021,Public opinion party,Loudspeaker,FALSE,1,Koshi region,4,Jhapa,4,113,260,8,FALSE,0.34,??????? ?????
341104,Kiran Limbu Lingden,Male,49,7/28/2033,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,4,Jhapa,4,114,141,9,FALSE,0.18,?? ?? ??
341325,Tara Bahadur Thapa,Male,37,9/23/2045,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,4,Jhapa,4,115,125,10,FALSE,0.16,?? ?? ?? ???
339699,Dilip Dhimal,Male,41,10/8/2041,Mongol National Organization,Rooster,FALSE,1,Koshi region,4,Jhapa,4,116,120,11,FALSE,0.16,???????? ?????? ???? ??
341568,Trinarayan dynasty,Male,64,5/15/2018,National Liberation Party Nepal (single election symbol),Millstone,FALSE,1,Koshi region,4,Jhapa,4,117,98,12,FALSE,0.13,?? ?? ??
340788,Tech Bahadur Officer,Male,52,8/4/2030,Communist Party of Nepal (Marxist) (Pushpalal),Gainti,FALSE,1,Koshi region,4,Jhapa,4,118,74,13,FALSE,0.1,??????
342097,Saajan Majhi,Male,28,8/27/2054,Independent,Helmet,TRUE,1,Koshi region,4,Jhapa,4,119,57,14,FALSE,0.07,Plus 2 / Higher Secondary
340952,Platoon Tajpuria,Male,54,9/15/2028,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,4,Jhapa,4,120,54,15,FALSE,0.07,??????
339646,Tulsi Lakshmi Dumru (Bati),Woman,43,4/29/2039,Nepal Labor Farmers Party,Model,FALSE,1,Koshi region,4,Jhapa,4,121,39,16,FALSE,0.05,?? ??
339653,Walendra Shah,Male,36,10/25/2046,National Independence Party,Bell,FALSE,1,Koshi region,4,Jhapa,5,122,68348,1,TRUE,66.79,BTU
340111,KP Sharma Oli,Male,74,11/11/2008,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,4,Jhapa,5,123,18734,2,FALSE,18.31,Unknown
342365,Sameer Tamang,Male,33,10/1/2049,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,4,Jhapa,5,124,9233,3,FALSE,9.02,Plus 2 / Higher Secondary
340445,Mandhara Chimaria,Woman,63,10/19/2019,Nepali Congress,Tree,FALSE,1,Koshi region,4,Jhapa,5,125,1821,4,FALSE,1.78,SLC
339386,Lakshmi Prasad Sangraula,Male,54,12/17/2027,National Democratic Party,Plow,FALSE,1,Koshi region,4,Jhapa,5,126,1536,5,FALSE,1.5,?? ?
340171,Ranjit Tamang,Male,43,10/19/2039,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,4,Jhapa,5,127,1461,6,FALSE,1.43,Unknown
340730,Amritlal Mahato,Male,43,1/1/2039,Public opinion party,Loudspeaker,FALSE,1,Koshi region,4,Jhapa,5,128,296,7,FALSE,0.29,SLC
339687,Sabin Rai,Male,35,5/18/2047,National Change Party,Flute,FALSE,1,Koshi region,4,Jhapa,5,129,204,8,FALSE,0.2,Unknown
339421,San Bahadur Meche,Male,42,4/14/2040,Mongol National Organization,Rooster,FALSE,1,Koshi region,4,Jhapa,5,130,166,9,FALSE,0.16,Plus 2 / Higher Secondary
341042,Shobha Bhandari,Woman,51,5/16/2031,Independent,Cauliflower,TRUE,1,Koshi region,4,Jhapa,5,131,82,10,FALSE,0.08,SLC
341101,Sanjay Rai,Male,32,10/24/2050,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,4,Jhapa,5,132,76,11,FALSE,0.07,Bachelor
340581,Padam Bahadur Zawegu,Male,48,12/3/2033,Nepal Janmukti Party,Home,FALSE,1,Koshi region,4,Jhapa,5,133,72,12,FALSE,0.07,Bachelor
341500,Sushant Sampang Rai,Male,27,6/24/2055,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,4,Jhapa,5,134,72,13,FALSE,0.07,bachelor
341745,Dhiren Subba,Male,62,9/5/2020,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,4,Jhapa,5,135,42,14,FALSE,0.04,Plus 2 / Higher Secondary
340964,Amrit Rasaili,Male,44,8/25/2038,National Liberation Party Nepal (single election symbol),Millstone,FALSE,1,Koshi region,4,Jhapa,5,136,35,15,FALSE,0.03,SLC
339300,Dharmaraj Guragai,Male,43,6/6/2039,People First Party,Hand shape with two fingers open and three fingers closed,FALSE,1,Koshi region,4,Jhapa,5,137,34,16,FALSE,0.03,Plus 2 / Higher Secondary
342521,Khemnath Shiwakoti,Male,60,7/16/2022,Independent,Camera,TRUE,1,Koshi region,4,Jhapa,5,138,25,17,FALSE,0.02,SLC
342687,Damwar Shahu,Male,42,3/6/2040,Independent,Triangle,TRUE,1,Koshi region,4,Jhapa,5,139,24,18,FALSE,0.02,????????????
342498,Pushkar Khatiwada,Male,30,1/30/2052,Independent,Round,TRUE,1,Koshi region,4,Jhapa,5,140,24,19,FALSE,0.02,??????
341971,Vipul Guragai,Male,33,6/26/2049,Independent,Panda,TRUE,1,Koshi region,4,Jhapa,5,141,19,20,FALSE,0.02,Plus 2 / Higher Secondary
341581,Arjun Sapkota,Male,39,3/27/2043,Independent,Calculator,TRUE,1,Koshi region,4,Jhapa,5,142,15,21,FALSE,0.01,SLC
342192,Ranjana Gautam,Woman,48,1/19/2034,Independent,Gas stove,TRUE,1,Koshi region,4,Jhapa,5,143,10,22,FALSE,0.01,Plus 2 / Higher Secondary
339787,Matrika Bhattarai,Male,46,2/18/2036,Independent,Syringe,TRUE,1,Koshi region,4,Jhapa,5,144,6,23,FALSE,0.01,Unknown
341230,Prakash Nepal,Male,40,12/21/2041,Independent,Scissors,TRUE,1,Koshi region,4,Jhapa,5,145,3,24,FALSE,0,Plus 2 / Higher Secondary
340348,Arjun Kumar Karki,Male,62,4/26/2020,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,5,Sankhuwasabha,1,146,15636,1,TRUE,26.55,????????????
340114,Mingma Sherpa,Male,47,3/2/2035,National Independence Party,Bell,FALSE,1,Koshi region,5,Sankhuwasabha,1,147,15000,2,FALSE,25.47,????? ? ????????
340661,Deepan Kumar Shrestha,Male,46,9/18/2036,Nepali Congress,Tree,FALSE,1,Koshi region,5,Sankhuwasabha,1,148,13271,3,FALSE,22.54,??.?
339989,Uma Kumari Rai,Woman,43,10/20/2039,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,5,Sankhuwasabha,1,149,9857,4,FALSE,16.74,??.??
341044,Sarita Thapa,Woman,51,8/17/2031,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,5,Sankhuwasabha,1,150,2812,5,FALSE,4.78,??.??.
341337,Ghanshyam Waling Rai,Male,49,5/22/2033,National Change Party,Flute,FALSE,1,Koshi region,5,Sankhuwasabha,1,151,1352,6,FALSE,2.3,Bachelor
339647,Pushpa Koirala,Male,54,11/11/2028,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,5,Sankhuwasabha,1,152,265,7,FALSE,0.45,??.??.
342606,Padam Bahadur Tamang,Male,58,7/15/2024,National Democratic Party,Plow,FALSE,1,Koshi region,5,Sankhuwasabha,1,153,199,8,FALSE,0.34,??.?
340520,Bharat Kumar Rai (Yakkha),Male,43,11/12/2039,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,5,Sankhuwasabha,1,154,135,9,FALSE,0.23,Masters
342003,Hem Kumar Gurung,Male,69,9/11/2013,National People's Front,Glass,FALSE,1,Koshi region,5,Sankhuwasabha,1,155,107,10,FALSE,0.18,Literate
